% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2020
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2020 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2020, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197208	  0.01435214	  0.02160167	 -0.03021830	
197209	 -0.01895737	  0.02611764	 -0.01442212	
197210	 -0.03986215	 -0.02380156	 -0.01615959	
197211	 -0.01686769	 -0.03272151	 -0.00776532	
197212	 -0.07355568	 -0.03615419	  0.00898538	
197301	 -0.05636507	 -0.02766337	 -0.01456082	
197302	 -0.04829335	  0.02652417	 -0.01090211	
197303	 -0.03071330	 -0.01399190	 -0.01296570	
197304	 -0.04066848	 -0.01090190	  0.02323191	
197305	 -0.11566822	 -0.06503431	 -0.00258940	
197306	 -0.19991972	 -0.16466846	 -0.03263042	
197307	 -0.09645305	 -0.00975221	  0.00246489	
197308	 -0.09587568	 -0.02566477	  0.01564823	
197309	 -0.12249973	 -0.00315010	  0.01702993	
197310	 -0.05342586	  0.02395885	 -0.04304415	
197311	 -0.30129144	 -0.23885130	 -0.02681412	
197312	 -0.13417994	 -0.08317223	 -0.01678427	
197401	 -0.16222705	 -0.06829662	  0.10418518	
197402	 -0.12003827	 -0.05509123	  0.03646193	
197403	 -0.00128850	  0.11396088	  0.04699442	
197404	 -0.04192028	  0.00168516	  0.02100897	
197405	 -0.10176336	 -0.08449150	  0.05574471	
197406	 -0.06936954	 -0.06535839	 -0.00622637	
197407	 -0.23115673	 -0.13658921	 -0.00344100	
197408	 -0.10185960	 -0.06352137	 -0.02381915	
197409	 -0.11031084	 -0.06678886	  0.02169861	
197410	 -0.08565812	  0.00602153	 -0.07344784	
197411	 -0.08357406	  0.03366048	 -0.01935048	
197412	 -0.10467737	 -0.04248265	  0.01903864	
197501	 -0.11363563	 -0.07691370	  0.10767499	
197502	 -0.07571968	  0.01763462	  0.03711914	
197503	 -0.13072540	  0.00549785	  0.05958711	
197504	  0.00011554	  0.03456767	  0.00093400	
197505	 -0.06664547	 -0.01212433	 -0.03162696	
197506	  0.02342901	  0.02375796	 -0.01776367	
197507	 -0.05962827	 -0.02777379	 -0.01027577	
197508	 -0.12755964	 -0.12191722	 -0.00831454	
197509	 -0.08967729	 -0.05348094	 -0.01888637	
197510	 -0.06496285	  0.02490575	  0.09092135	
197511	  0.00741821	  0.02745436	  0.03603464	
197512	 -0.02442816	 -0.02112289	 -0.00322575	
197601	 -0.06026916	 -0.03494983	  0.01751494	
197602	 -0.01850114	  0.05065476	 -0.04278389	
197603	 -0.01869402	  0.00818033	 -0.01660943	
197604	 -0.02836403	 -0.04844308	 -0.01956703	
197605	 -0.09013978	 -0.08747788	 -0.04190786	
197606	 -0.06495230	 -0.02393127	 -0.00610714	
197607	 -0.09137023	 -0.05422615	 -0.02750855	
197608	 -0.01515904	  0.03115949	  0.01800230	
197609	 -0.03775239	  0.01728078	 -0.01528527	
197610	 -0.08540734	 -0.04487753	  0.00399457	
197611	 -0.08199193	 -0.02187906	 -0.02344162	
197612	 -0.02603303	  0.05494786	 -0.01253071	
197701	 -0.06248706	 -0.04543615	 -0.03090381	
197702	 -0.00039705	  0.03559155	 -0.01027310	
197703	 -0.05633423	  0.03164065	  0.01122769	
197704	 -0.01072185	 -0.01013343	 -0.02971101	
197705	 -0.03332456	 -0.01450389	  0.01743986	
197706	 -0.00864341	  0.01634995	  0.02081410	
197707	 -0.04816932	 -0.01410088	  0.00111370	
197708	 -0.04412220	  0.00476644	  0.03117883	
197709	 -0.04748178	 -0.02216850	  0.01221344	
197710	 -0.03260695	 -0.00225677	 -0.01137042	
197711	 -0.01279571	  0.02799858	  0.00429908	
197712	  0.02084873	  0.03495030	 -0.00563987	
197801	 -0.04222258	 -0.00654007	  0.00650995	
197802	 -0.01929822	  0.01263673	  0.00136091	
197803	 -0.01049430	  0.00286442	  0.01633719	
197804	 -0.00780383	  0.01865026	  0.03212413	
197805	  0.01785201	  0.02129872	  0.01593199	
197806	  0.01073519	  0.01323557	  0.00834925	
197807	 -0.04349239	 -0.03615490	  0.03180526	
197808	  0.02096417	  0.03648256	 -0.00140559	
197809	 -0.00570674	 -0.01196613	 -0.02595187	
197810	 -0.10828928	 -0.10228680	  0.04393819	
197811	 -0.07491575	 -0.03165507	 -0.03453245	
197812	 -0.03422058	  0.03624230	  0.00320466	
197901	 -0.01441439	  0.02450473	 -0.00940122	
197902	 -0.03296427	  0.00715553	 -0.03257974	
197903	 -0.04381288	  0.02131770	 -0.01101773	
197904	  0.00478602	  0.05498130	  0.02047961	
197905	 -0.08102735	 -0.04668348	 -0.02378100	
197906	 -0.01188102	  0.02313112	 -0.01699896	
197907	  0.02263928	  0.06098743	 -0.01449611	
197908	  0.01305124	  0.03604903	  0.01599076	
197909	 -0.07426784	 -0.06374764	 -0.00999328	
197910	 -0.15447257	 -0.10401759	 -0.00045465	
197911	 -0.03883258	  0.00773802	 -0.06976762	
197912	 -0.00920058	  0.02511370	 -0.01799238	
198001	 -0.05958447	 -0.01966652	  0.00018610	
198002	 -0.09784091	 -0.04276577	  0.01719526	
198003	 -0.14193797	 -0.08665947	  0.02982032	
198004	 -0.05117316	 -0.02993486	 -0.01119830	
198005	  0.03284126	  0.07882544	 -0.00725668	
198006	 -0.01566887	  0.00233351	  0.01042402	
198007	 -0.03519602	 -0.01708173	 -0.00685490	
198008	  0.00723605	  0.05258331	  0.01144489	
198009	 -0.04758752	 -0.01742071	  0.01401007	
198010	 -0.01239088	  0.03499615	  0.02764647	
198011	 -0.02423485	  0.00301848	  0.02789981	
198012	 -0.05639616	 -0.01352665	  0.02750117	
198101	 -0.02295500	  0.00379623	  0.04003611	
198102	 -0.00758953	  0.00064304	  0.00207780	
198103	 -0.02136465	  0.01331569	  0.01531355	
198104	 -0.02810852	  0.01006892	 -0.01713319	
198105	  0.00737341	  0.02865307	 -0.02528308	
198106	  0.00168118	  0.03051993	  0.06080179	
198107	 -0.01763500	  0.01075106	 -0.01412726	
198108	 -0.07670137	 -0.04385143	 -0.00151730	
198109	 -0.15284444	 -0.12041203	  0.09463966	
198110	 -0.04551135	 -0.00188537	 -0.02337636	
198111	 -0.03161579	 -0.01305321	  0.06020799	
198112	 -0.02358720	  0.02655495	  0.00777277	
198201	 -0.06997584	 -0.05856905	 -0.02015572	
198202	 -0.12230555	 -0.08176869	 -0.01174033	
